Name,Status,Site,Cluster,Role,Tenant,VCPUs,Memory (MB),Disk,IP Address,ID,Device,Tenant Group,IPv4 Address,IPv6 Address,Description,Comments,Config Template,Serial number,Contacts,Tags,Created,Last updated,Platform,Interfaces,Virtual Disks,Backup,DTAP state,Harddisk,open actions,Server Group
[brokerteam]DB1B,Active,,vw-vcenter02,VM,Systems Infrastructure,4.0,,,,352,,,,,,PowerState         : PoweredOff,,,GO / TO / Network Operations (responsible),,2025-07-22T10:22:44.546171Z,2025-08-27T07:09:47.075336Z,,0,,,,,,Xenosite legacy
[brokerteam]MG 1B,Active,,vw-vcenter02,VM,Systems Infrastructure,4.0,,,,353,,,,,,,,,GO / TO / AM / DBA (responsible),,2025-07-22T10:22:44.765419Z,2025-07-22T10:22:44.765434Z,CentOS V6,0,,,,,,
[brokerteam]Proxy1B,Active,,vw-vcenter02,VM,Systems Infrastructure,3.0,,,,334,,,,,,,,,,,2025-07-22T10:22:40.111557Z,2025-07-22T10:22:40.111573Z,CentOS V6,0,,,,,,
[core]blackhole.xenosite.ro,Active,,vw-vcenter02,VM,Systems Infrastructure,1.0,,,,335,,,,,,,,,,,2025-07-22T10:22:40.324662Z,2025-07-22T10:22:40.324677Z,CentOS V6,0,,,,,,
[core]dev.xenosite.net,Active,,vw-vcenter02,VM,Systems Infrastructure,2.0,,,,336,,,,,,,,,,,2025-07-22T10:22:40.536681Z,2025-07-22T10:22:40.536695Z,CentOS V5,0,,,,,,
[core]dhcp-kpn.xenosite.net,Active,,vw-vcenter02,VM,Systems Infrastructure,2.0,,,,337,,,,,,,,,,,2025-07-22T10:22:40.826083Z,2025-07-22T10:22:40.826098Z,CentOS V5,0,,,,,,
[core]monster.xenosite.net,Active,,vw-vcenter02,VM,Systems Infrastructure,1.0,,,,338,,,,,,,,,,,2025-07-22T10:22:41.392337Z,2025-07-22T10:22:41.392352Z,CentOS V5,0,,,,,,
[core]mysql1.xenosite.net,Active,,vw-vcenter02,VM,Systems Infrastructure,1.0,,,,339,,,,,,,,,,,2025-07-22T10:22:41.651111Z,2025-07-22T10:22:41.651126Z,CentOS V6,0,,,,,,
[core]mysql2.xenosite.net,Active,,vw-vcenter02,VM,Systems Infrastructure,1.0,,,,340,,,,,,PowerState         : PoweredOff,,,,,2025-07-22T10:22:41.860110Z,2025-08-27T07:09:46.820435Z,,0,,,,,,
[core]ns1.xenosite.net,Active,,Unknown,VM,Systems Infrastructure,1.0,,,,341,,,,,,,,,,,2025-07-22T10:22:42.100858Z,2025-07-22T10:22:42.100872Z,CentOS V6,0,,,,,,
[core]ns2.xenosite.net,Active,,vw-vcenter02,VM,Systems Infrastructure,1.0,,,,342,,,,,,,,,,,2025-07-22T10:22:42.350866Z,2025-07-22T10:22:42.350885Z,CentOS V6,0,,,,,,
[core]rad1-kpn-huawei.xenosite.net,Active,,Unknown,VM,Systems Infrastructure,2.0,,,,344,,,,,,,,,,,2025-07-22T10:22:42.776337Z,2025-07-22T10:22:42.776351Z,CentOS V6,0,,,,,,
[core]rad1.xenosite.net,Active,,Unknown,VM,Systems Infrastructure,1.0,,,,343,,,,,,,,,,,2025-07-22T10:22:42.565241Z,2025-07-22T10:22:42.565256Z,CentOS V5,0,,,,,,
[core]resolver-redbus.xenosite.net,Active,,Unknown,VM,Systems Infrastructure,1.0,,,,345,,,,,,,,,,,2025-07-22T10:22:42.995007Z,2025-07-22T10:22:42.995022Z,CentOS V6,0,,,,,20200624 - shut down as IPs have been migrated - remove VM after some weeks,
[pem]filter01.nedlook.com,Active,,vw-vcenter02,VM,Systems Infrastructure,4.0,,,,347,,,,,,,,,,,2025-07-22T10:22:43.458387Z,2025-07-22T10:22:43.458403Z,CentOS V6,0,,,,,,
[pem]filter02.nedlook.com,Active,,vw-vcenter02,VM,Systems Infrastructure,4.0,,,,348,,,,,,,,,GO / TO / Voice Operations (responsible),,2025-07-22T10:22:43.677795Z,2025-07-22T10:22:43.677810Z,CentOS V6,0,,,,,,
[pem]mysql5.nedlook.com,Active,,vw-vcenter02,VM,Systems Infrastructure,4.0,,,,349,,,,,,,,,GO / TO / Voice Operations (responsible),,2025-07-22T10:22:43.896060Z,2025-07-22T10:22:43.896075Z,CentOS V6,0,,,,,,
[SRV00212]flex-siteconcept,Active,,vw-vcenter02,VM,Systems Infrastructure,1.0,,,,354,,,,,,PowerState         : PoweredOff,,,GO / TO / Voice Operations (responsible),,2025-07-22T10:22:45.017452Z,2025-08-27T07:09:47.321714Z,,0,,,,,,
[voip]mon1,Active,,Unknown,VM,Systems Infrastructure,2.0,,,,356,,,,,,PowerState         : PoweredOff,,,GO / TO / AM / Technical Management (responsible),,2025-07-22T10:22:45.469260Z,2025-08-27T07:09:47.650839Z,,0,,,,,,
[voip]mon2,Active,,vw-vcenter02,VM,Systems Infrastructure,2.0,,,,357,,,,,,,,,,,2025-07-22T10:22:45.674993Z,2025-07-22T10:22:45.675009Z,,0,,,,,,
[WINC]-AD02.XENOSITE.VOICE,Active,,10.0.87.92,VM,Systems Infrastructure,6.0,,,,493,,,,,,,,,GO / TO / SA / Linux infrastructure (responsible),,2025-07-22T10:23:23.532040Z,2025-07-22T10:23:23.532054Z,Windows Server 2012,0,,,,,,Xenosite legacy
[WINC]-APP39.XENOSITE.VOICE,Active,,10.0.87.92,VM,Systems Infrastructure,6.0,,,,494,,,,,,,,,GO / TO / Voice Operations (responsible),,2025-07-22T10:23:23.750787Z,2025-07-22T10:23:23.750802Z,Windows Server 2012,0,,,,,,Xenosite legacy
[WINC]-f2m01,Active,,10.0.87.92,VM,Systems Infrastructure,4.0,,,,495,,,,,,,,,GO / TO / Voice Operations (responsible),,2025-07-22T10:23:23.970019Z,2025-07-22T10:23:23.970035Z,CentOS V6,0,,,,,,Xenosite legacy
[Xenosite]-UbiquitiWIFIcontroller,Active,,vw-vcenter02,VM,Systems Infrastructure,1.0,,,,332,,,,,,PowerState         : PoweredOff,,,,,2025-07-22T10:22:39.685983Z,2025-08-27T07:09:46.571493Z,,0,,,,,,
