Name,Status,Tenant,Site,Location,Rack,Rack Position,Role,Manufacturer,Type,IP Address,ID,Tenant Group,Serial number,Asset tag,Region,Site Group,Parent Device,Position (Device Bay),Position,Rack face,Latitude,Longitude,Airflow,IPv4 Address,IPv6 Address,OOB IP,Cluster,Virtual Chassis,VC Position,VC Priority,Description,Config Template,Comments,Contacts,Tags,Created,Last updated,Platform,Server Group,Backup,DTAP state,Harddisk,open actions,CPU,Memory,Monitor hardware,HW buy date,HW warranty expiration,Warranty type,Console ports,Console server ports,Power ports,Power outlets,Interfaces,Front ports,Rear ports,Device bays,Module bays,Inventory items,VCPUs,Memory (MB),Disk,Device,Virtual Disks,netbox_type
*NEW* FWL29-ALM-A,Active,Network Infrastructure,Ironmountain,"EVO, Hal4, LI",LI-15,Front 40.0,Firewall,Unknown,Firewall (1U) (full-depth),,1928,,,,Netherlands,,,,40.0,Front,,,,,,,,,,,,,,,,2025-07-22T10:13:05.274960Z,2025-07-22T10:13:05.274978Z,,,,,,,,,,,,,1,0,1,0,10,0,0,0,0,0,,,,,,devices
2x Sonic wall NSA 220,Active,Network Infrastructure,Unknown,,,,Router,Unknown,Router,,987,,,,,,,,,,,,,,,,,,,,,,,,,2025-07-22T09:56:01.618419Z,2025-07-22T09:56:01.618436Z,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,devices
3com backnet switch,Active,Network Infrastructure,Unknown,,,,Network switch,Unknown,Network switch,,959,,,,,,,,,,,,,,,,,,,,,,backnet,,,2025-07-22T09:55:46.307738Z,2025-08-27T07:09:11.625836Z,,,,,,,,,,,,,0,0,0,0,48,0,0,0,0,0,,,,,,devices
3Com switch SW6,Active,Network Infrastructure,Unknown,,,,Network switch,Unknown,Network switch,,923,,,,,,,,,,,,,,,,,,,,,,uplink 3com: 48 &lt;-&gt; foundry: 24,GO / TO / AM / Technical Management (responsible),,2025-07-22T09:55:25.522298Z,2025-08-27T07:09:05.888731Z,,,,,,,,,,,,,0,0,0,0,25,0,0,0,0,0,,,,,,devices
4ITSolutions,Active,,Unknown,,,,Server,Unknown,Server,,927,,,,,,,,,,,,,,,,,,,,,,,GO / TO / Voice Operations (responsible),,2025-07-22T09:55:27.496585Z,2025-07-22T09:55:27.496602Z,,,,,,Return to Drachten,,,,,,,0,0,0,0,3,0,0,0,0,0,,,,,,devices
10Telecom 01,Active,Colocation,Equinix AM8 (am8),0G:00ZE0A row 05,0505,Front 39.0,Server,Unknown,Server,,1269,,,,Netherlands,,,,39.0,Front,,,,,,,,,,,,,,,,2025-07-22T10:00:54.831734Z,2025-08-05T07:29:07.666336Z,,,,,,,,,,,,,0,0,2,0,2,0,0,0,0,0,,,,,,devices
10telecom 02,Active,Colocation,Equinix AM8 (am8),0G:00ZE0A row 05,0505,Front 38.0,Server,Unknown,Server,,1268,,,,Netherlands,,,,38.0,Front,,,,,,,,,,,,,,,,2025-07-22T10:00:54.261276Z,2025-08-05T07:29:53.739245Z,,,,,,,,,,,,,0,0,2,0,2,0,0,0,0,0,,,,,,devices
10telecom 03,Active,Colocation,Equinix AM8 (am8),0G:00ZE0A row 05,0505,Front 37.0,Server,Unknown,Server,,1267,,,,Netherlands,,,,37.0,Front,,,,,,,,,,,,,,,,2025-07-22T10:00:53.673344Z,2025-08-05T07:30:28.463720Z,,,,,,,,,,,,,0,0,2,0,2,0,0,0,0,0,,,,,,devices
10telecom 04,Active,Colocation,Equinix AM8 (am8),0G:00ZE0A row 05,0505,Front 36.0,Server,Unknown,Server,,1270,,,,Netherlands,,,,36.0,Front,,,,,,,,,,,,,,,,2025-07-22T10:00:55.405656Z,2025-08-05T07:30:57.415480Z,,,,,,,,,,,,,0,0,2,0,2,0,0,0,0,0,,,,,,devices
10Telecom Spare,Active,Colocation,Equinix AM8 (am8),0G:00ZE0A row 05,0505,Front 40.0,Server,Unknown,Server,,910,,,SRV00053,Netherlands,,,,40.0,Front,,,,,,10.0.130.19/32,,,,,,,,,,2025-07-22T09:55:19.100462Z,2025-08-05T07:32:13.285164Z,,,,,,,,,,,,,0,0,1,0,3,0,0,0,0,0,,,,,,devices
