application_name,average_throughput_gb_per_hr,backup_level_name,backup_set_name,client_groups,client_id,client_name,destination_client_name,elapsed_seconds,end_time,job_id,job_type,localized_operation,localized_status,percent_complete,percent_savings,plan_name,retain_until,size_of_application_bytes,size_on_media_bytes,start_time,status,storage_policy_name,subclient_name,total_num_files
MySQL,73.1325,Incremental,defaultDummyBackupSet,"Linux file system agents, Systems backup - daily MySQL full, Firewall - direct, All agents, Active backups, Updates needed, Mobile Operations",1371,vm8,vm8,28,2025-10-02T15:08:35+00:00,1645214,Backup,Backup,Completed,100.0,68.934,applications - MySQL databases,2025-10-16T15:07:43+00:00,109063060,33881541,2025-10-02T15:07:43+00:00,Completed,2 weeks,default,5
MySQL,65.0348,Incremental,defaultDummyBackupSet,"Linux file system agents, Systems backup - daily MySQL full, Firewall - direct, All agents, Active backups, Updates needed, Mobile Operations",1371,vm8,vm8,23,2025-10-02T14:07:56+00:00,1645197,Backup,Backup,Completed,100.0,68.7588,applications - MySQL databases,2025-10-16T14:07:20+00:00,116384320,36359857,2025-10-02T14:07:20+00:00,Completed,2 weeks,default,5
MySQL,61.4197,Incremental,defaultDummyBackupSet,"Linux file system agents, Systems backup - daily MySQL full, Firewall - direct, All agents, Active backups, Updates needed, Mobile Operations",1371,vm8,vm8,32,2025-10-02T13:08:02+00:00,1645180,Backup,Backup,Completed,100.0,68.7521,applications - MySQL databases,2025-10-16T13:06:57+00:00,109914793,34346036,2025-10-02T13:06:57+00:00,Completed,2 weeks,default,5
MySQL,66.73,Incremental,defaultDummyBackupSet,"Linux file system agents, Systems backup - daily MySQL full, Firewall - direct, All agents, Active backups, Updates needed, Mobile Operations",1371,vm8,vm8,28,2025-10-02T12:07:25+00:00,1645144,Backup,Backup,Completed,100.0,68.767,applications - MySQL databases,2025-10-16T12:06:35+00:00,99514958,31081554,2025-10-02T12:06:35+00:00,Completed,2 weeks,default,5
MySQL,52.7349,Incremental,defaultDummyBackupSet,"Linux file system agents, Systems backup - daily MySQL full, Firewall - direct, All agents, Active backups, Updates needed, Mobile Operations",1371,vm8,vm8,28,2025-10-02T11:07:04+00:00,1645126,Backup,Backup,Completed,100.0,68.5792,applications - MySQL databases,2025-10-16T11:06:12+00:00,94372712,29652678,2025-10-02T11:06:12+00:00,Completed,2 weeks,default,5
MySQL,55.3664,Incremental,defaultDummyBackupSet,"Linux file system agents, Systems backup - daily MySQL full, Firewall - direct, All agents, Active backups, Updates needed, Mobile Operations",1371,vm8,vm8,27,2025-10-02T10:06:43+00:00,1645109,Backup,Backup,Completed,100.0,68.6087,applications - MySQL databases,2025-10-16T10:05:49+00:00,99082086,31103154,2025-10-02T10:05:49+00:00,Completed,2 weeks,default,5
MySQL,64.5056,Incremental,defaultDummyBackupSet,"Linux file system agents, Systems backup - daily MySQL full, Firewall - direct, All agents, Active backups, Updates needed, Mobile Operations",1371,vm8,vm8,24,2025-10-02T09:06:09+00:00,1645090,Backup,Backup,Completed,100.0,68.5617,applications - MySQL databases,2025-10-16T09:05:27+00:00,96197718,30242944,2025-10-02T09:05:27+00:00,Completed,2 weeks,default,5
MySQL,64.8711,Incremental,defaultDummyBackupSet,"Linux file system agents, Systems backup - daily MySQL full, Firewall - direct, All agents, Active backups, Updates needed, Mobile Operations",1371,vm8,vm8,21,2025-10-02T08:05:50+00:00,1645073,Backup,Backup,Completed,100.0,68.5454,applications - MySQL databases,2025-10-16T08:05:03+00:00,96742751,30430028,2025-10-02T08:05:03+00:00,Completed,2 weeks,default,5
MySQL,59.6845,Incremental,defaultDummyBackupSet,"Linux file system agents, Systems backup - daily MySQL full, Firewall - direct, All agents, Active backups, Updates needed, Mobile Operations",1371,vm8,vm8,29,2025-10-02T07:05:44+00:00,1645053,Backup,Backup,Completed,100.0,68.7228,applications - MySQL databases,2025-10-16T07:04:41+00:00,89007915,27839195,2025-10-02T07:04:41+00:00,Completed,2 weeks,default,5
MySQL,36.5081,Incremental,defaultDummyBackupSet,"Linux file system agents, Systems backup - daily MySQL full, Firewall - direct, All agents, Active backups, Updates needed, Mobile Operations",1371,vm8,vm8,22,2025-10-02T06:05:07+00:00,1645036,Backup,Backup,Completed,100.0,69.0457,applications - MySQL databases,2025-10-16T06:04:18+00:00,65333736,20223625,2025-10-02T06:04:18+00:00,Completed,2 weeks,default,5
MySQL,24.6764,Incremental,defaultDummyBackupSet,"Linux file system agents, Systems backup - daily MySQL full, Firewall - direct, All agents, Active backups, Updates needed, Mobile Operations",1371,vm8,vm8,29,2025-10-02T05:04:53+00:00,1645019,Backup,Backup,Completed,100.0,69.2012,applications - MySQL databases,2025-10-16T05:03:55+00:00,44160222,13600799,2025-10-02T05:03:55+00:00,Completed,2 weeks,default,6
